fiscal_year,state_abbr,naics_2digit,naics_2digit_label,num_applications,median_wage,approval_rate
2019,AK,21,Other,14,112882.0,
2019,AK,44,Other,1,135000.0,
2019,AK,51,Information,2,139950.5,
2019,AK,54,Professional/Scientific/Tech,1,54288.0,
2019,AK,61,Educational Services,9,63190.4,
2019,AK,62,Health Care,2,73091.20000000001,
2019,AK,92,Other,3,67100.8,
2019,AL,11,Other,2,164338.0,
2019,AL,21,Other,42,105000.0,
2019,AL,22,Other,5,114181.0,
2019,AL,23,Other,18,78000.0,
2019,AL,31,Other,3,65000.0,
2019,AL,32,Other,33,85654.8,
2019,AL,33,Other,172,70000.0,
2019,AL,42,Other,16,103800.0,
2019,AL,44,Other,9,74422.0,
2019,AL,45,Other,6,93857.0,
2019,AL,48,Other,3,67018.0,
2019,AL,49,Other,1,52000.0,
2019,AL,51,Information,20,91676.0,
2019,AL,52,Finance & Insurance,77,78700.0,
2019,AL,54,Professional/Scientific/Tech,811,75376.49,
2019,AL,55,Management of Companies,4,115000.0,
2019,AL,56,Other,28,64875.200000000004,
2019,AL,61,Educational Services,452,68000.0,
2019,AL,62,Health Care,262,209100.0,
2019,AL,71,Other,3,61651.200000000004,
2019,AL,72,Accommodation & Food,4,82380.0,
2019,AL,81,Other Services,10,74609.5,
2019,AL,92,Other,4,80488.98000000001,
2019,AR,11,Other,10,56967.0,
2019,AR,21,Other,75,85000.0,
2019,AR,22,Other,18,86371.98000000001,
2019,AR,23,Other,99,69999.8,
2019,AR,31,Other,39,91045.0,
2019,AR,32,Other,73,93018.0,
2019,AR,33,Other,734,84503.0,
2019,AR,42,Other,112,93423.22,
2019,AR,44,Other,80,114650.0,
2019,AR,45,Other,1021,88519.08,
2019,AR,48,Other,205,90000.0,
2019,AR,49,Other,24,64308.0,
2019,AR,51,Information,264,97968.0,
2019,AR,52,Finance & Insurance,592,107141.875,
2019,AR,53,Other,33,75000.0,
2019,AR,54,Professional/Scientific/Tech,8978,81262.8,
2019,AR,55,Management of Companies,12,88437.0,
2019,AR,56,Other,119,99902.0,
2019,AR,61,Educational Services,789,58254.0,
2019,AR,62,Health Care,344,200000.0,
2019,AR,71,Other,14,62545.5,
2019,AR,72,Accommodation & Food,67,90818.0,
2019,AR,81,Other Services,23,66227.0,
2019,AR,92,Other,28,58458.5,
2019,AZ,06,Other,1,81500.0,
2019,AZ,21,Other,2,161740.0,
2019,AZ,22,Other,1,109695.0,
2019,AZ,23,Other,7,70000.0,
2019,AZ,32,Other,3,91000.0,
2019,AZ,33,Other,94,85000.0,
2019,AZ,42,Other,10,112924.0,
2019,AZ,44,Other,9,119768.48,
2019,AZ,45,Other,8,125690.0,
2019,AZ,48,Other,9,81266.0,
2019,AZ,49,Other,4,99500.0,
2019,AZ,51,Information,22,99000.0,
2019,AZ,52,Finance & Insurance,84,112662.5,
2019,AZ,53,Other,1,70283.0,
2019,AZ,54,Professional/Scientific/Tech,1077,82615.1,
2019,AZ,55,Management of Companies,3,105768.0,
2019,AZ,56,Other,15,112090.0,
2019,AZ,61,Educational Services,156,68153.25,
2019,AZ,62,Health Care,32,177500.0,
2019,AZ,71,Other,4,83360.0,
2019,AZ,72,Accommodation & Food,18,88763.8,
2019,AZ,81,Other Services,2,61200.0,
2019,AZ,92,Other,1,52291.200000000004,
2019,CA,11,Other,64,94400.0,
2019,CA,21,Other,80,123284.0,
2019,CA,22,Other,219,104354.0,
2019,CA,23,Other,830,81120.0,
2019,CA,31,Other,485,84594.0,
2019,CA,32,Other,979,103000.0,
2019,CA,33,Other,13488,120000.0,
2019,CA,42,Other,1672,87256.0,
2019,CA,44,Other,920,121077.0,
2019,CA,45,Other,4584,145000.0,
2019,CA,48,Other,288,83824.5,
2019,CA,49,Other,58,75524.0,
2019,CA,51,Information,14090,133000.0,
2019,CA,52,Finance & Insurance,5568,121923.0,
2019,CA,53,Other,779,118456.0,
2019,CA,54,Professional/Scientific/Tech,73974,109243.0,
2019,CA,55,Management of Companies,227,115000.0,
2019,CA,56,Other,1403,120000.0,
2019,CA,61,Educational Services,4078,70712.5,
2019,CA,62,Health Care,2207,96782.40000000001,
2019,CA,71,Other,282,82394.5,
2019,CA,72,Accommodation & Food,277,83200.0,
2019,CA,81,Other Services,320,82707.5,
2019,CA,92,Other,156,99889.0,
2019,CO,11,Other,15,52000.0,
2019,CO,21,Other,57,127397.0,
2019,CO,22,Other,45,100000.0,
2019,CO,23,Other,76,71525.0,
2019,CO,31,Other,105,97947.0,
2019,CO,32,Other,143,100000.0,
2019,CO,33,Other,892,98137.5,
2019,CO,42,Other,85,87006.0,
2019,CO,44,Other,49,97614.0,
2019,CO,45,Other,107,108000.0,
2019,CO,48,Other,19,85000.0,
2019,CO,49,Other,19,70823.0,
2019,CO,51,Information,897,87200.0,
2019,CO,52,Finance & Insurance,1007,107000.0,
2019,CO,53,Other,34,82420.1,
2019,CO,54,Professional/Scientific/Tech,10953,87006.4,
2019,CO,55,Management of Companies,7,108742.25,
2019,CO,56,Other,90,88889.0,
2019,CO,61,Educational Services,1009,60096.0,
2019,CO,62,Health Care,477,120000.0,
2019,CO,71,Other,28,62219.0,
2019,CO,72,Accommodation & Food,41,78000.0,
2019,CO,81,Other Services,32,87339.5,
2019,CO,92,Other,26,99735.0,
2019,CT,22,Other,1,92298.44,
2019,CT,23,Other,2,87620.0,
2019,CT,31,Other,3,97000.0,
2019,CT,32,Other,9,115000.0,
2019,CT,33,Other,18,112500.0,
2019,CT,42,Other,4,87392.0,
2019,CT,44,Other,4,121139.0,
2019,CT,45,Other,11,104790.0,
2019,CT,51,Information,17,117000.0,
2019,CT,52,Finance & Insurance,103,115877.0,
2019,CT,54,Professional/Scientific/Tech,744,88546.0,
2019,CT,55,Management of Companies,1,100464.0,
2019,CT,56,Other,5,76680.0,
2019,CT,61,Educational Services,100,54685.0,
2019,CT,62,Health Care,18,157997.0,
2019,CT,71,Other,1,47680.0,
2019,CT,72,Accommodation & Food,1,120768.0,
2019,CT,81,Other Services,1,78208.0,
2019,DC,23,Other,1,115877.0,
2019,DC,45,Other,1,111322.0,
2019,DC,48,Other,4,119011.23999999999,
2019,DC,51,Information,20,121674.95999999999,
2019,DC,52,Finance & Insurance,2,99500.0,
2019,DC,53,Other,2,56951.0,
2019,DC,54,Professional/Scientific/Tech,358,94000.0,
2019,DC,55,Management of Companies,1,125000.0,
2019,DC,56,Other,4,75951.3,
2019,DC,61,Educational Services,50,67056.5,
2019,DC,62,Health Care,25,81000.0,
2019,DC,71,Other,1,96970.0,
2019,DC,72,Accommodation & Food,1,60000.0,
2019,DC,81,Other Services,28,89856.0,
2019,DC,92,Other,9,120000.0,
2019,DE,11,Other,1,57120.0,
2019,DE,22,Other,3,109824.0,
2019,DE,23,Other,2,58708.0,
2019,DE,31,Other,5,87880.0,
2019,DE,32,Other,59,96470.0,
2019,DE,33,Other,29,90000.0,
2019,DE,42,Other,15,65936.0,
2019,DE,44,Other,10,78213.5,
2019,DE,45,Other,11,80371.2,
2019,DE,48,Other,4,59000.0,
2019,DE,49,Other,4,65000.0,
2019,DE,51,Information,9,83595.0,
2019,DE,52,Finance & Insurance,514,100000.0,
2019,DE,54,Professional/Scientific/Tech,2073,87000.0,
2019,DE,55,Management of Companies,358,108000.0,
2019,DE,56,Other,16,85470.0,
2019,DE,61,Educational Services,60,69812.5,
2019,DE,62,Health Care,101,203440.0,
2019,DE,72,Accommodation & Food,2,64050.0,
2019,DE,81,Other Services,4,86019.92,
2019,DE,92,Other,1,107103.0,
2019,FL,11,Other,27,60000.0,
2019,FL,21,Other,4,86221.5,
2019,FL,22,Other,49,93496.0,
2019,FL,23,Other,304,65154.0,
2019,FL,31,Other,64,72234.5,
2019,FL,32,Other,188,75000.0,
2019,FL,33,Other,580,85467.20000000001,
2019,FL,42,Other,257,69347.0,
2019,FL,44,Other,199,96915.0,
2019,FL,45,Other,251,96500.0,
2019,FL,48,Other,189,77440.0,
2019,FL,49,Other,30,77210.0,
2019,FL,51,Information,521,91645.0,
2019,FL,52,Finance & Insurance,950,92000.0,
2019,FL,53,Other,135,70000.0,
2019,FL,54,Professional/Scientific/Tech,14855,77000.0,
2019,FL,55,Management of Companies,122,100000.0,
2019,FL,56,Other,231,70000.0,
2019,FL,61,Educational Services,1036,68918.725,
2019,FL,62,Health Care,709,85000.0,
2019,FL,71,Other,95,57500.0,
2019,FL,72,Accommodation & Food,150,93445.5,
2019,FL,73,Other,2,94125.0,
2019,FL,81,Other Services,58,74368.0,
2019,FL,92,Other,30,65141.255000000005,
2019,GA,11,Other,1,82400.0,
2019,GA,23,Other,7,60000.0,
2019,GA,31,Other,11,100000.0,
2019,GA,32,Other,32,84000.0,
2019,GA,33,Other,74,96869.0,
2019,GA,42,Other,46,113700.13,
2019,GA,44,Other,25,120000.0,
2019,GA,45,Other,6,96800.0,
