word,count,weight
approval,7227,10.324
period,3681,9.351
thank,3206,9.152
grace,2560,8.828
advance,2557,8.826
good,2281,8.661
share,2276,8.658
appreciate,2243,8.637
timeline,2211,8.616
stamped,2098,8.541
appreciated,2066,8.518
wanted,1901,8.398
card,1884,8.385
spouse,1771,8.296
exempt,1766,8.292
oct,1744,8.274
based,1734,8.266
april,1706,8.242
expires,1640,8.185
degree,1607,8.156
around,1604,8.153
well,1601,8.151
within,1579,8.131
best,1546,8.1
plan,1542,8.097
wondering,1535,8.09
experiences,1530,8.085
non,1519,8.075
soon,1496,8.053
understand,1487,8.044
thanks,5731,1.825
approved,12442,1.573
help,5543,1.387
please,5002,1.139
cos,3042,0.745
questions,2868,0.688
october,2514,0.622
ead,4981,0.62
experience,4295,0.588
cap,3327,0.583
transfer,6144,0.573
advice,3720,0.562
everyone,3872,0.52
notice,4198,0.497
laid,2240,0.485
pending,2578,0.476
hello,3005,0.466
date,6237,0.461
start,4042,0.439
like,4836,0.419
